open,high,low,last,close,volume,date,symbol,exchange
220.725,223.24,219.635,220.015,221.0,109080.0,2020-06-04T19:05:39+0000,AMGN,IEXG
220.725,223.24,219.635,219.855,221.0,107501.0,2020-06-04T19:00:53+0000,AMGN,IEXG
220.725,223.24,219.68,220.03,221.0,105750.0,2020-06-04T18:55:59+0000,AMGN,IEXG
220.725,223.24,219.68,219.88,221.0,103850.0,2020-06-04T18:50:20+0000,AMGN,IEXG
220.725,223.24,219.68,219.74,221.0,101833.0,2020-06-04T18:45:34+0000,AMGN,IEXG
220.725,223.24,219.68,219.935,221.0,100529.0,2020-06-04T18:40:23+0000,AMGN,IEXG
220.725,223.24,219.68,219.965,221.0,100329.0,2020-06-04T18:40:02+0000,AMGN,IEXG
220.725,223.24,219.68,219.95,221.0,98827.0,2020-06-04T18:35:55+0000,AMGN,IEXG
220.725,223.24,219.68,220.075,221.0,97524.0,2020-06-04T18:30:42+0000,AMGN,IEXG
220.725,223.24,219.68,220.105,221.0,95684.0,2020-06-04T18:25:45+0000,AMGN,IEXG
220.725,223.24,219.68,220.25,221.0,94143.0,2020-06-04T18:20:45+0000,AMGN,IEXG
220.725,223.24,219.68,220.25,221.0,93843.0,2020-06-04T18:20:00+0000,AMGN,IEXG
220.725,223.24,219.68,220.355,221.0,92710.0,2020-06-04T18:15:57+0000,AMGN,IEXG
220.725,223.24,219.68,220.09,221.0,90910.0,2020-06-04T18:10:59+0000,AMGN,IEXG
220.725,223.24,219.68,220.03,221.0,88893.0,2020-06-04T18:05:53+0000,AMGN,IEXG
220.725,223.24,219.68,220.24,221.0,86803.0,2020-06-04T18:00:20+0000,AMGN,IEXG
220.725,223.24,219.68,220.4,221.0,85503.0,2020-06-04T17:55:46+0000,AMGN,IEXG
220.725,223.24,219.68,220.535,221.0,84089.0,2020-06-04T17:50:33+0000,AMGN,IEXG
220.725,223.24,219.68,219.98,221.0,83189.0,2020-06-04T17:45:56+0000,AMGN,IEXG
220.725,223.24,219.68,220.0,221.0,81589.0,2020-06-04T17:40:51+0000,AMGN,IEXG
220.725,223.24,219.68,219.72,221.0,80066.0,2020-06-04T17:35:46+0000,AMGN,IEXG
220.725,223.24,219.705,219.825,221.0,79563.0,2020-06-04T17:35:01+0000,AMGN,IEXG
220.725,223.24,219.705,219.74,221.0,78263.0,2020-06-04T17:30:53+0000,AMGN,IEXG
220.725,223.24,219.725,220.02,221.0,77143.0,2020-06-04T17:25:44+0000,AMGN,IEXG
220.725,223.24,219.725,220.06,221.0,75599.0,2020-06-04T17:20:35+0000,AMGN,IEXG
220.725,223.24,219.725,220.25,221.0,73998.0,2020-06-04T17:15:23+0000,AMGN,IEXG
220.725,223.24,219.725,219.825,221.0,66678.0,2020-06-04T17:05:46+0000,AMGN,IEXG
220.725,223.24,219.725,220.0,221.0,65432.0,2020-06-04T17:00:23+0000,AMGN,IEXG
220.725,223.24,219.725,220.35,221.0,63043.0,2020-06-04T16:55:36+0000,AMGN,IEXG
220.725,223.24,219.725,220.45,221.0,62543.0,2020-06-04T16:55:00+0000,AMGN,IEXG
220.725,223.24,219.725,220.43,221.0,61543.0,2020-06-04T16:50:55+0000,AMGN,IEXG
220.725,223.24,219.725,220.1,221.0,61112.0,2020-06-04T16:45:30+0000,AMGN,IEXG
220.725,223.24,219.725,220.06,221.0,60798.0,2020-06-04T16:45:00+0000,AMGN,IEXG
220.725,223.24,219.725,220.575,221.0,59787.0,2020-06-04T16:40:52+0000,AMGN,IEXG
220.725,223.24,219.725,220.33,221.0,59378.0,2020-06-04T16:40:00+0000,AMGN,IEXG
220.725,223.24,219.725,221.105,221.0,55578.0,2020-06-04T16:30:26+0000,AMGN,IEXG
220.725,223.24,219.725,221.16,221.0,54226.0,2020-06-04T16:25:32+0000,AMGN,IEXG
220.725,223.24,219.725,220.74,221.0,53651.0,2020-06-04T16:20:30+0000,AMGN,IEXG
220.725,223.24,219.725,220.31,221.0,53314.0,2020-06-04T16:15:32+0000,AMGN,IEXG
220.725,223.24,219.725,220.58,221.0,52574.0,2020-06-04T16:05:08+0000,AMGN,IEXG
220.725,223.24,219.725,220.59,221.0,50820.0,2020-06-04T15:55:30+0000,AMGN,IEXG
220.725,223.24,219.725,220.31,221.0,49793.0,2020-06-04T15:50:14+0000,AMGN,IEXG
220.725,223.24,219.725,220.665,221.0,48626.0,2020-06-04T15:40:21+0000,AMGN,IEXG
220.725,223.24,219.725,220.72,221.0,47577.0,2020-06-04T15:35:58+0000,AMGN,IEXG
220.725,223.24,219.725,220.555,221.0,46177.0,2020-06-04T15:30:46+0000,AMGN,IEXG
220.725,223.24,219.725,220.675,221.0,44322.0,2020-06-04T15:25:59+0000,AMGN,IEXG
220.725,223.24,219.725,221.18,221.0,43147.0,2020-06-04T15:20:28+0000,AMGN,IEXG
220.725,223.24,219.725,221.14,221.0,41913.0,2020-06-04T15:15:57+0000,AMGN,IEXG
220.725,223.24,219.725,221.25,221.0,40613.0,2020-06-04T15:10:46+0000,AMGN,IEXG
220.725,223.24,219.725,221.37,221.0,38757.0,2020-06-04T15:05:17+0000,AMGN,IEXG
220.725,223.24,219.725,221.435,221.0,37157.0,2020-06-04T15:00:48+0000,AMGN,IEXG
226.3,226.35,222.63,223.98,226.91,51866.0,2020-06-02T16:25:33+0000,AMGN,IEXG
226.3,226.35,222.63,223.76,226.91,50964.0,2020-06-02T16:20:21+0000,AMGN,IEXG
226.3,226.35,222.63,223.765,226.91,50814.0,2020-06-02T16:20:00+0000,AMGN,IEXG
226.3,226.35,222.63,223.32,226.91,48611.0,2020-06-02T16:15:05+0000,AMGN,IEXG
226.3,226.35,222.63,223.53,226.91,48058.0,2020-06-02T16:10:36+0000,AMGN,IEXG
226.3,226.35,222.63,223.38,226.91,45840.0,2020-06-02T16:05:38+0000,AMGN,IEXG
226.3,226.35,222.63,223.215,226.91,45406.0,2020-06-02T16:00:38+0000,AMGN,IEXG
226.3,226.35,222.63,223.285,226.91,45106.0,2020-06-02T16:00:00+0000,AMGN,IEXG
226.3,226.35,222.63,223.39,226.91,42996.0,2020-06-02T15:50:02+0000,AMGN,IEXG
226.3,226.35,222.63,223.3,226.91,42646.0,2020-06-02T15:45:07+0000,AMGN,IEXG
226.3,226.35,222.63,223.64,226.91,40708.0,2020-06-02T15:35:55+0000,AMGN,IEXG
226.3,226.35,222.63,223.855,226.91,40008.0,2020-06-02T15:35:00+0000,AMGN,IEXG
226.3,226.35,222.63,223.5,226.91,37691.0,2020-06-02T15:30:05+0000,AMGN,IEXG
